object;date;fact
25092;01.03.2019 0:00;
25092;01.03.2019 1:00;
25092;01.03.2019 2:00;
25092;01.03.2019 3:00;
25092;01.03.2019 4:00;
25092;01.03.2019 5:00;
25092;01.03.2019 6:00;
25092;01.03.2019 7:00;
25092;01.03.2019 8:00;
25092;01.03.2019 9:00;
25092;01.03.2019 10:00;
25092;01.03.2019 11:00;
25092;01.03.2019 12:00;
25092;01.03.2019 13:00;
25092;01.03.2019 14:00;
25092;01.03.2019 15:00;
25092;01.03.2019 16:00;
25092;01.03.2019 17:00;
25092;01.03.2019 18:00;
25092;01.03.2019 19:00;
25092;01.03.2019 20:00;
25092;01.03.2019 21:00;
25092;01.03.2019 22:00;
25092;01.03.2019 23:00;
35872;01.03.2019 0:00;
35872;01.03.2019 1:00;
35872;01.03.2019 2:00;
35872;01.03.2019 3:00;
35872;01.03.2019 4:00;
35872;01.03.2019 5:00;
35872;01.03.2019 6:00;
35872;01.03.2019 7:00;
35872;01.03.2019 8:00;
35872;01.03.2019 9:00;
35872;01.03.2019 10:00;
35872;01.03.2019 11:00;
35872;01.03.2019 12:00;
35872;01.03.2019 13:00;
35872;01.03.2019 14:00;
35872;01.03.2019 15:00;
35872;01.03.2019 16:00;
35872;01.03.2019 17:00;
35872;01.03.2019 18:00;
35872;01.03.2019 19:00;
35872;01.03.2019 20:00;
35872;01.03.2019 21:00;
35872;01.03.2019 22:00;
35872;01.03.2019 23:00;
96220;01.03.2019 0:00;
96220;01.03.2019 1:00;
96220;01.03.2019 2:00;
96220;01.03.2019 3:00;
96220;01.03.2019 4:00;
96220;01.03.2019 5:00;
96220;01.03.2019 6:00;
96220;01.03.2019 7:00;
96220;01.03.2019 8:00;
96220;01.03.2019 9:00;
96220;01.03.2019 10:00;
96220;01.03.2019 11:00;
96220;01.03.2019 12:00;
96220;01.03.2019 13:00;
96220;01.03.2019 14:00;
96220;01.03.2019 15:00;
96220;01.03.2019 16:00;
96220;01.03.2019 17:00;
96220;01.03.2019 18:00;
96220;01.03.2019 19:00;
96220;01.03.2019 20:00;
96220;01.03.2019 21:00;
96220;01.03.2019 22:00;
96220;01.03.2019 23:00;
53373;01.03.2019 0:00;
53373;01.03.2019 1:00;
53373;01.03.2019 2:00;
53373;01.03.2019 3:00;
53373;01.03.2019 4:00;
53373;01.03.2019 5:00;
53373;01.03.2019 6:00;
53373;01.03.2019 7:00;
53373;01.03.2019 8:00;
53373;01.03.2019 9:00;
53373;01.03.2019 10:00;
53373;01.03.2019 11:00;
53373;01.03.2019 12:00;
53373;01.03.2019 13:00;
53373;01.03.2019 14:00;
53373;01.03.2019 15:00;
53373;01.03.2019 16:00;
53373;01.03.2019 17:00;
53373;01.03.2019 18:00;
53373;01.03.2019 19:00;
53373;01.03.2019 20:00;
53373;01.03.2019 21:00;
53373;01.03.2019 22:00;
53373;01.03.2019 23:00;
66345;01.03.2019 0:00;
66345;01.03.2019 1:00;
66345;01.03.2019 2:00;
66345;01.03.2019 3:00;
66345;01.03.2019 4:00;
66345;01.03.2019 5:00;
66345;01.03.2019 6:00;
66345;01.03.2019 7:00;
66345;01.03.2019 8:00;
66345;01.03.2019 9:00;
66345;01.03.2019 10:00;
66345;01.03.2019 11:00;
66345;01.03.2019 12:00;
66345;01.03.2019 13:00;
66345;01.03.2019 14:00;
66345;01.03.2019 15:00;
66345;01.03.2019 16:00;
66345;01.03.2019 17:00;
66345;01.03.2019 18:00;
66345;01.03.2019 19:00;
66345;01.03.2019 20:00;
66345;01.03.2019 21:00;
66345;01.03.2019 22:00;
66345;01.03.2019 23:00;
59875;01.03.2019 0:00;
59875;01.03.2019 1:00;
59875;01.03.2019 2:00;
59875;01.03.2019 3:00;
59875;01.03.2019 4:00;
59875;01.03.2019 5:00;
59875;01.03.2019 6:00;
59875;01.03.2019 7:00;
59875;01.03.2019 8:00;
59875;01.03.2019 9:00;
59875;01.03.2019 10:00;
59875;01.03.2019 11:00;
59875;01.03.2019 12:00;
59875;01.03.2019 13:00;
59875;01.03.2019 14:00;
59875;01.03.2019 15:00;
59875;01.03.2019 16:00;
59875;01.03.2019 17:00;
59875;01.03.2019 18:00;
59875;01.03.2019 19:00;
59875;01.03.2019 20:00;
59875;01.03.2019 21:00;
59875;01.03.2019 22:00;
59875;01.03.2019 23:00;
53759;01.03.2019 0:00;
53759;01.03.2019 1:00;
53759;01.03.2019 2:00;
53759;01.03.2019 3:00;
53759;01.03.2019 4:00;
53759;01.03.2019 5:00;
53759;01.03.2019 6:00;
53759;01.03.2019 7:00;
53759;01.03.2019 8:00;
53759;01.03.2019 9:00;
53759;01.03.2019 10:00;
53759;01.03.2019 11:00;
53759;01.03.2019 12:00;
53759;01.03.2019 13:00;
53759;01.03.2019 14:00;
53759;01.03.2019 15:00;
53759;01.03.2019 16:00;
53759;01.03.2019 17:00;
53759;01.03.2019 18:00;
53759;01.03.2019 19:00;
53759;01.03.2019 20:00;
53759;01.03.2019 21:00;
53759;01.03.2019 22:00;
53759;01.03.2019 23:00;
40927;01.03.2019 0:00;
40927;01.03.2019 1:00;
40927;01.03.2019 2:00;
40927;01.03.2019 3:00;
40927;01.03.2019 4:00;
40927;01.03.2019 5:00;
40927;01.03.2019 6:00;
40927;01.03.2019 7:00;
40927;01.03.2019 8:00;
40927;01.03.2019 9:00;
40927;01.03.2019 10:00;
40927;01.03.2019 11:00;
40927;01.03.2019 12:00;
40927;01.03.2019 13:00;
40927;01.03.2019 14:00;
40927;01.03.2019 15:00;
40927;01.03.2019 16:00;
40927;01.03.2019 17:00;
40927;01.03.2019 18:00;
40927;01.03.2019 19:00;
40927;01.03.2019 20:00;
40927;01.03.2019 21:00;
40927;01.03.2019 22:00;
40927;01.03.2019 23:00;
93422;01.03.2019 0:00;
93422;01.03.2019 1:00;
93422;01.03.2019 2:00;
93422;01.03.2019 3:00;
93422;01.03.2019 4:00;
93422;01.03.2019 5:00;
93422;01.03.2019 6:00;
93422;01.03.2019 7:00;
93422;01.03.2019 8:00;
93422;01.03.2019 9:00;
93422;01.03.2019 10:00;
93422;01.03.2019 11:00;
93422;01.03.2019 12:00;
93422;01.03.2019 13:00;
93422;01.03.2019 14:00;
93422;01.03.2019 15:00;
93422;01.03.2019 16:00;
93422;01.03.2019 17:00;
93422;01.03.2019 18:00;
93422;01.03.2019 19:00;
93422;01.03.2019 20:00;
93422;01.03.2019 21:00;
93422;01.03.2019 22:00;
93422;01.03.2019 23:00;
21645;01.03.2019 0:00;
21645;01.03.2019 1:00;
21645;01.03.2019 2:00;
21645;01.03.2019 3:00;
21645;01.03.2019 4:00;
21645;01.03.2019 5:00;
21645;01.03.2019 6:00;
21645;01.03.2019 7:00;
21645;01.03.2019 8:00;
21645;01.03.2019 9:00;
21645;01.03.2019 10:00;
21645;01.03.2019 11:00;
21645;01.03.2019 12:00;
21645;01.03.2019 13:00;
21645;01.03.2019 14:00;
21645;01.03.2019 15:00;
21645;01.03.2019 16:00;
21645;01.03.2019 17:00;
21645;01.03.2019 18:00;
21645;01.03.2019 19:00;
21645;01.03.2019 20:00;
21645;01.03.2019 21:00;
21645;01.03.2019 22:00;
21645;01.03.2019 23:00;
90497;01.03.2019 0:00;
90497;01.03.2019 1:00;
90497;01.03.2019 2:00;
90497;01.03.2019 3:00;
90497;01.03.2019 4:00;
90497;01.03.2019 5:00;
90497;01.03.2019 6:00;
90497;01.03.2019 7:00;
90497;01.03.2019 8:00;
90497;01.03.2019 9:00;
90497;01.03.2019 10:00;
90497;01.03.2019 11:00;
90497;01.03.2019 12:00;
90497;01.03.2019 13:00;
90497;01.03.2019 14:00;
90497;01.03.2019 15:00;
90497;01.03.2019 16:00;
90497;01.03.2019 17:00;
90497;01.03.2019 18:00;
90497;01.03.2019 19:00;
90497;01.03.2019 20:00;
90497;01.03.2019 21:00;
90497;01.03.2019 22:00;
90497;01.03.2019 23:00;
49076;01.03.2019 0:00;
49076;01.03.2019 1:00;
49076;01.03.2019 2:00;
49076;01.03.2019 3:00;
49076;01.03.2019 4:00;
49076;01.03.2019 5:00;
49076;01.03.2019 6:00;
49076;01.03.2019 7:00;
49076;01.03.2019 8:00;
49076;01.03.2019 9:00;
49076;01.03.2019 10:00;
49076;01.03.2019 11:00;
49076;01.03.2019 12:00;
49076;01.03.2019 13:00;
49076;01.03.2019 14:00;
49076;01.03.2019 15:00;
49076;01.03.2019 16:00;
49076;01.03.2019 17:00;
49076;01.03.2019 18:00;
49076;01.03.2019 19:00;
49076;01.03.2019 20:00;
49076;01.03.2019 21:00;
49076;01.03.2019 22:00;
49076;01.03.2019 23:00;
10769;01.03.2019 0:00;
10769;01.03.2019 1:00;
10769;01.03.2019 2:00;
10769;01.03.2019 3:00;
10769;01.03.2019 4:00;
10769;01.03.2019 5:00;
10769;01.03.2019 6:00;
10769;01.03.2019 7:00;
10769;01.03.2019 8:00;
10769;01.03.2019 9:00;
10769;01.03.2019 10:00;
10769;01.03.2019 11:00;
10769;01.03.2019 12:00;
10769;01.03.2019 13:00;
10769;01.03.2019 14:00;
10769;01.03.2019 15:00;
10769;01.03.2019 16:00;
10769;01.03.2019 17:00;
10769;01.03.2019 18:00;
10769;01.03.2019 19:00;
10769;01.03.2019 20:00;
10769;01.03.2019 21:00;
10769;01.03.2019 22:00;
10769;01.03.2019 23:00;
56392;01.03.2019 0:00;
56392;01.03.2019 1:00;
56392;01.03.2019 2:00;
56392;01.03.2019 3:00;
56392;01.03.2019 4:00;
56392;01.03.2019 5:00;
56392;01.03.2019 6:00;
56392;01.03.2019 7:00;
56392;01.03.2019 8:00;
56392;01.03.2019 9:00;
56392;01.03.2019 10:00;
56392;01.03.2019 11:00;
56392;01.03.2019 12:00;
56392;01.03.2019 13:00;
56392;01.03.2019 14:00;
56392;01.03.2019 15:00;
56392;01.03.2019 16:00;
56392;01.03.2019 17:00;
56392;01.03.2019 18:00;
56392;01.03.2019 19:00;
56392;01.03.2019 20:00;
56392;01.03.2019 21:00;
56392;01.03.2019 22:00;
56392;01.03.2019 23:00;
44227;01.03.2019 0:00;
44227;01.03.2019 1:00;
44227;01.03.2019 2:00;
44227;01.03.2019 3:00;
44227;01.03.2019 4:00;
44227;01.03.2019 5:00;
44227;01.03.2019 6:00;
44227;01.03.2019 7:00;
44227;01.03.2019 8:00;
44227;01.03.2019 9:00;
44227;01.03.2019 10:00;
44227;01.03.2019 11:00;
44227;01.03.2019 12:00;
44227;01.03.2019 13:00;
44227;01.03.2019 14:00;
44227;01.03.2019 15:00;
44227;01.03.2019 16:00;
44227;01.03.2019 17:00;
44227;01.03.2019 18:00;
44227;01.03.2019 19:00;
44227;01.03.2019 20:00;
44227;01.03.2019 21:00;
44227;01.03.2019 22:00;
44227;01.03.2019 23:00;
68359;01.03.2019 0:00;
68359;01.03.2019 1:00;
68359;01.03.2019 2:00;
68359;01.03.2019 3:00;
68359;01.03.2019 4:00;
68359;01.03.2019 5:00;
68359;01.03.2019 6:00;
68359;01.03.2019 7:00;
68359;01.03.2019 8:00;
68359;01.03.2019 9:00;
68359;01.03.2019 10:00;
68359;01.03.2019 11:00;
68359;01.03.2019 12:00;
68359;01.03.2019 13:00;
68359;01.03.2019 14:00;
68359;01.03.2019 15:00;
68359;01.03.2019 16:00;
68359;01.03.2019 17:00;
68359;01.03.2019 18:00;
68359;01.03.2019 19:00;
68359;01.03.2019 20:00;
68359;01.03.2019 21:00;
68359;01.03.2019 22:00;
68359;01.03.2019 23:00;
87390;01.03.2019 0:00;
87390;01.03.2019 1:00;
87390;01.03.2019 2:00;
87390;01.03.2019 3:00;
87390;01.03.2019 4:00;
87390;01.03.2019 5:00;
87390;01.03.2019 6:00;
87390;01.03.2019 7:00;
87390;01.03.2019 8:00;
87390;01.03.2019 9:00;
87390;01.03.2019 10:00;
87390;01.03.2019 11:00;
87390;01.03.2019 12:00;
87390;01.03.2019 13:00;
87390;01.03.2019 14:00;
87390;01.03.2019 15:00;
87390;01.03.2019 16:00;
87390;01.03.2019 17:00;
87390;01.03.2019 18:00;
87390;01.03.2019 19:00;
87390;01.03.2019 20:00;
87390;01.03.2019 21:00;
87390;01.03.2019 22:00;
87390;01.03.2019 23:00;
89943;01.03.2019 0:00;
89943;01.03.2019 1:00;
89943;01.03.2019 2:00;
89943;01.03.2019 3:00;
89943;01.03.2019 4:00;
89943;01.03.2019 5:00;
89943;01.03.2019 6:00;
89943;01.03.2019 7:00;
89943;01.03.2019 8:00;
89943;01.03.2019 9:00;
89943;01.03.2019 10:00;
89943;01.03.2019 11:00;
89943;01.03.2019 12:00;
89943;01.03.2019 13:00;
89943;01.03.2019 14:00;
89943;01.03.2019 15:00;
89943;01.03.2019 16:00;
89943;01.03.2019 17:00;
89943;01.03.2019 18:00;
89943;01.03.2019 19:00;
89943;01.03.2019 20:00;
89943;01.03.2019 21:00;
89943;01.03.2019 22:00;
89943;01.03.2019 23:00;
61518;01.03.2019 0:00;
61518;01.03.2019 1:00;
61518;01.03.2019 2:00;
61518;01.03.2019 3:00;
61518;01.03.2019 4:00;
61518;01.03.2019 5:00;
61518;01.03.2019 6:00;
61518;01.03.2019 7:00;
61518;01.03.2019 8:00;
61518;01.03.2019 9:00;
61518;01.03.2019 10:00;
61518;01.03.2019 11:00;
61518;01.03.2019 12:00;
61518;01.03.2019 13:00;
61518;01.03.2019 14:00;
61518;01.03.2019 15:00;
61518;01.03.2019 16:00;
61518;01.03.2019 17:00;
61518;01.03.2019 18:00;
61518;01.03.2019 19:00;
61518;01.03.2019 20:00;
